date:    2026-09-24T12:14:23Z
os:      Linux 7.0.14-orbstack-00380-ga7e0a2dc9535
cpu:     0x000
cores:   10
ram:     11GB
kvgo:    7ff6536
params:  count=10 benchtime=500000x shards=1 8 32 transport=in-process
---
"series","workers","run","ns_per_op","ops_per_sec"
"8 shards","64","10","306.6","3261578"
"16 shards","1","1","405.8","2464268"
"16 shards","1","2","388.4","2574665"
"16 shards","1","3","385.0","2597402"
"16 shards","1","4","389.3","2568713"
"16 shards","1","5","398.8","2507522"
"16 shards","1","6","382.0","2617801"
"16 shards","1","7","396.6","2521432"
"16 shards","1","8","391.8","2552322"
"16 shards","1","9","404.6","2471576"
"16 shards","1","10","397.9","2513194"
"16 shards","2","1","490.4","2039151"
"16 shards","2","2","461.9","2164970"
"16 shards","2","3","451.4","2215330"
"16 shards","2","4","423.5","2361275"
"16 shards","2","5","433.1","2308935"
"16 shards","2","6","458.0","2183406"
"16 shards","2","7","448.3","2230649"
"16 shards","2","8","461.2","2168256"
"16 shards","2","9","452.0","2212389"
"16 shards","2","10","466.4","2144082"
"16 shards","4","1","477.2","2095557"
"16 shards","4","2","489.7","2042066"
"16 shards","4","3","476.1","2100399"
"16 shards","4","4","470.7","2124495"
"16 shards","4","5","455.6","2194907"
"16 shards","4","6","443.7","2253775"
"16 shards","4","7","457.4","2186270"
"16 shards","4","8","469.1","2131741"
"16 shards","4","9","462.5","2162162"
"16 shards","4","10","467.1","2140869"
"16 shards","8","1","415.8","2405002"
"16 shards","8","2","429.3","2329373"
"16 shards","8","3","405.2","2467917"
"16 shards","8","4","417.6","2394636"
"16 shards","8","5","397.7","2514458"
"16 shards","8","6","398.7","2508151"
"16 shards","8","7","438.6","2279981"
"16 shards","8","8","417.1","2397506"
"16 shards","8","9","426.2","2346316"
"16 shards","8","10","403.1","2480774"
"16 shards","16","1","347.7","2876042"
"16 shards","16","2","355.5","2812939"
"16 shards","16","3","361.5","2766251"
"16 shards","16","4","337.2","2965599"
"16 shards","16","5","330.0","3030303"
"16 shards","16","6","339.3","2947244"
"16 shards","16","7","347.4","2878526"
"16 shards","16","8","333.7","2996703"
"16 shards","16","9","373.2","2679528"
"16 shards","16","10","340.7","2935133"
"16 shards","32","1","294.3","3397893"
"16 shards","32","2","334.2","2992220"
"16 shards","32","3","302.2","3309066"
"16 shards","32","4","268.5","3724394"
"16 shards","32","5","277.2","3607503"
"16 shards","32","6","267.8","3734129"
"16 shards","32","7","312.7","3197953"
"16 shards","32","8","273.4","3657644"
"16 shards","32","9","271.5","3683241"
"16 shards","32","10","269.4","3711952"
"16 shards","64","1","293.1","3411804"
